tool	rank	metric	sample	value
Gold standard	class	True positives	RH_S001__insert_270.fq	2.0
Gold standard	class	False negatives	RH_S001__insert_270.fq	0.0
Gold standard	class	False positives	RH_S001__insert_270.fq	0.0
Gold standard	class	Completeness	RH_S001__insert_270.fq	1.0
Gold standard	class	Purity	RH_S001__insert_270.fq	1.0
Gold standard	class	F1 score	RH_S001__insert_270.fq	1.0
Gold standard	class	Jaccard index	RH_S001__insert_270.fq	1.0
Gold standard	order	True positives	RH_S001__insert_270.fq	2.0
Gold standard	order	False negatives	RH_S001__insert_270.fq	0.0
Gold standard	order	False positives	RH_S001__insert_270.fq	0.0
Gold standard	order	Completeness	RH_S001__insert_270.fq	1.0
Gold standard	order	Purity	RH_S001__insert_270.fq	1.0
Gold standard	order	F1 score	RH_S001__insert_270.fq	1.0
Gold standard	order	Jaccard index	RH_S001__insert_270.fq	1.0
Gold standard	family	True positives	RH_S001__insert_270.fq	2.0
Gold standard	family	False negatives	RH_S001__insert_270.fq	0.0
Gold standard	family	False positives	RH_S001__insert_270.fq	0.0
Gold standard	family	Completeness	RH_S001__insert_270.fq	1.0
Gold standard	family	Purity	RH_S001__insert_270.fq	1.0
Gold standard	family	F1 score	RH_S001__insert_270.fq	1.0
Gold standard	family	Jaccard index	RH_S001__insert_270.fq	1.0
Gold standard	genus	True positives	RH_S001__insert_270.fq	2.0
Gold standard	genus	False negatives	RH_S001__insert_270.fq	0.0
Gold standard	genus	False positives	RH_S001__insert_270.fq	0.0
Gold standard	genus	Completeness	RH_S001__insert_270.fq	1.0
Gold standard	genus	Purity	RH_S001__insert_270.fq	1.0
Gold standard	genus	F1 score	RH_S001__insert_270.fq	1.0
Gold standard	genus	Jaccard index	RH_S001__insert_270.fq	1.0
Gold standard	species	True positives	RH_S001__insert_270.fq	3.0
Gold standard	species	False negatives	RH_S001__insert_270.fq	0.0
Gold standard	species	False positives	RH_S001__insert_270.fq	0.0
Gold standard	species	Completeness	RH_S001__insert_270.fq	1.0
Gold standard	species	Purity	RH_S001__insert_270.fq	1.0
Gold standard	species	F1 score	RH_S001__insert_270.fq	1.0
Gold standard	species	Jaccard index	RH_S001__insert_270.fq	1.0
Gold standard	strain	True positives	RH_S001__insert_270.fq	3.0
Gold standard	strain	False negatives	RH_S001__insert_270.fq	0.0
Gold standard	strain	False positives	RH_S001__insert_270.fq	0.0
Gold standard	strain	Completeness	RH_S001__insert_270.fq	1.0
Gold standard	strain	Purity	RH_S001__insert_270.fq	1.0
Gold standard	strain	F1 score	RH_S001__insert_270.fq	1.0
Gold standard	strain	Jaccard index	RH_S001__insert_270.fq	1.0
Gold standard	superkingdom	L1 norm error	RH_S001__insert_270.fq	0.0
Gold standard	phylum	L1 norm error	RH_S001__insert_270.fq	0.0
Gold standard	class	L1 norm error	RH_S001__insert_270.fq	0.0
Gold standard	order	L1 norm error	RH_S001__insert_270.fq	0.0
Gold standard	family	L1 norm error	RH_S001__insert_270.fq	0.0
Gold standard	genus	L1 norm error	RH_S001__insert_270.fq	0.0
Gold standard	species	L1 norm error	RH_S001__insert_270.fq	0.0
Gold standard	strain	L1 norm error	RH_S001__insert_270.fq	0.0
Gold standard	na	Weighted UniFrac error	RH_S001__insert_270.fq	0.0
Gold standard	na	Unweighted UniFrac error	RH_S001__insert_270.fq	0.0
Gold standard	na	Weighted UniFrac (CAMI)	RH_S001__insert_270.fq	0.0
Gold standard	na	Unweighted UniFrac (CAMI)	RH_S001__insert_270.fq	0.0
Gold standard	superkingdom	Sum of abundances	RH_S001__insert_270.fq	0.382751
Gold standard	phylum	Sum of abundances	RH_S001__insert_270.fq	0.0713218
Gold standard	class	Sum of abundances	RH_S001__insert_270.fq	0.0713218
Gold standard	order	Sum of abundances	RH_S001__insert_270.fq	0.0713218
Gold standard	family	Sum of abundances	RH_S001__insert_270.fq	0.0713218
Gold standard	genus	Sum of abundances	RH_S001__insert_270.fq	0.0713218
Gold standard	species	Sum of abundances	RH_S001__insert_270.fq	0.382751
Gold standard	strain	Sum of abundances	RH_S001__insert_270.fq	0.382751
Gold standard	superkingdom	Taxon counts	RH_S001__insert_270.fq	2.0
Gold standard	phylum	Taxon counts	RH_S001__insert_270.fq	2.0
Gold standard	class	Taxon counts	RH_S001__insert_270.fq	2.0
Gold standard	order	Taxon counts	RH_S001__insert_270.fq	2.0
Gold standard	family	Taxon counts	RH_S001__insert_270.fq	2.0
Gold standard	genus	Taxon counts	RH_S001__insert_270.fq	2.0
Gold standard	species	Taxon counts	RH_S001__insert_270.fq	3.0
Gold standard	strain	Taxon counts	RH_S001__insert_270.fq	3.0
adjacency-filter	superkingdom	Bray-Curtis distance	RH_S001__insert_270.fq	0.23840504847319854
adjacency-filter	phylum	Bray-Curtis distance	RH_S001__insert_270.fq	0.19575962015639037
adjacency-filter	class	Bray-Curtis distance	RH_S001__insert_270.fq	0.19575962015639037
adjacency-filter	order	Bray-Curtis distance	RH_S001__insert_270.fq	0.19575962015639037
adjacency-filter	family	Bray-Curtis distance	RH_S001__insert_270.fq	0.19575962015639037
adjacency-filter	genus	Bray-Curtis distance	RH_S001__insert_270.fq	0.19575962015639037
adjacency-filter	species	Bray-Curtis distance	RH_S001__insert_270.fq	0.23840484812795895
adjacency-filter	strain	Bray-Curtis distance	RH_S001__insert_270.fq	0.23840484812795895
adjacency-filter	superkingdom	Shannon diversity	RH_S001__insert_270.fq	0.4595054143030525
adjacency-filter	superkingdom	Shannon equitability	RH_S001__insert_270.fq	0.6629261824766424
adjacency-filter	phylum	Shannon diversity	RH_S001__insert_270.fq	0.14787005121136462
adjacency-filter	phylum	Shannon equitability	RH_S001__insert_270.fq	0.2133313895786328
adjacency-filter	class	Shannon diversity	RH_S001__insert_270.fq	0.14787005121136462
adjacency-filter	class	Shannon equitability	RH_S001__insert_270.fq	0.2133313895786328
adjacency-filter	order	Shannon diversity	RH_S001__insert_270.fq	0.14787005121136462
adjacency-filter	order	Shannon equitability	RH_S001__insert_270.fq	0.2133313895786328
adjacency-filter	family	Shannon diversity	RH_S001__insert_270.fq	0.14787005121136462
adjacency-filter	family	Shannon equitability	RH_S001__insert_270.fq	0.2133313895786328
adjacency-filter	genus	Shannon diversity	RH_S001__insert_270.fq	0.14787005121136462
adjacency-filter	genus	Shannon equitability	RH_S001__insert_270.fq	0.2133313895786328
adjacency-filter	species	Shannon diversity	RH_S001__insert_270.fq	0.461683392682581
adjacency-filter	species	Shannon equitability	RH_S001__insert_270.fq	0.420242334301847
adjacency-filter	strain	Shannon diversity	RH_S001__insert_270.fq	0.461683392682581
adjacency-filter	strain	Shannon equitability	RH_S001__insert_270.fq	0.420242334301847
adjacency-filter	superkingdom	True positives	RH_S001__insert_270.fq	2.0
adjacency-filter	superkingdom	False negatives	RH_S001__insert_270.fq	0.0
adjacency-filter	superkingdom	False positives	RH_S001__insert_270.fq	0.0
adjacency-filter	superkingdom	Completeness	RH_S001__insert_270.fq	1.0
adjacency-filter	superkingdom	Purity	RH_S001__insert_270.fq	1.0
adjacency-filter	superkingdom	F1 score	RH_S001__insert_270.fq	1.0
adjacency-filter	superkingdom	Jaccard index	RH_S001__insert_270.fq	1.0
adjacency-filter	phylum	True positives	RH_S001__insert_270.fq	2.0
adjacency-filter	phylum	False negatives	RH_S001__insert_270.fq	0.0
adjacency-filter	phylum	False positives	RH_S001__insert_270.fq	0.0
adjacency-filter	phylum	Completeness	RH_S001__insert_270.fq	1.0
adjacency-filter	phylum	Purity	RH_S001__insert_270.fq	1.0
adjacency-filter	phylum	F1 score	RH_S001__insert_270.fq	1.0
adjacency-filter	phylum	Jaccard index	RH_S001__insert_270.fq	1.0
adjacency-filter	class	True positives	RH_S001__insert_270.fq	2.0
adjacency-filter	class	False negatives	RH_S001__insert_270.fq	0.0
adjacency-filter	class	False positives	RH_S001__insert_270.fq	0.0
adjacency-filter	class	Completeness	RH_S001__insert_270.fq	1.0
adjacency-filter	class	Purity	RH_S001__insert_270.fq	1.0
adjacency-filter	class	F1 score	RH_S001__insert_270.fq	1.0
adjacency-filter	class	Jaccard index	RH_S001__insert_270.fq	1.0
adjacency-filter	order	True positives	RH_S001__insert_270.fq	2.0
adjacency-filter	order	False negatives	RH_S001__insert_270.fq	0.0
adjacency-filter	order	False positives	RH_S001__insert_270.fq	0.0
adjacency-filter	order	Completeness	RH_S001__insert_270.fq	1.0
adjacency-filter	order	Purity	RH_S001__insert_270.fq	1.0
adjacency-filter	order	F1 score	RH_S001__insert_270.fq	1.0
adjacency-filter	order	Jaccard index	RH_S001__insert_270.fq	1.0
adjacency-filter	family	True positives	RH_S001__insert_270.fq	2.0
adjacency-filter	family	False negatives	RH_S001__insert_270.fq	0.0
adjacency-filter	family	False positives	RH_S001__insert_270.fq	0.0
adjacency-filter	family	Completeness	RH_S001__insert_270.fq	1.0
adjacency-filter	family	Purity	RH_S001__insert_270.fq	1.0
adjacency-filter	family	F1 score	RH_S001__insert_270.fq	1.0
adjacency-filter	family	Jaccard index	RH_S001__insert_270.fq	1.0
adjacency-filter	genus	True positives	RH_S001__insert_270.fq	2.0
adjacency-filter	genus	False negatives	RH_S001__insert_270.fq	0.0
adjacency-filter	genus	False positives	RH_S001__insert_270.fq	0.0
adjacency-filter	genus	Completeness	RH_S001__insert_270.fq	1.0
adjacency-filter	genus	Purity	RH_S001__insert_270.fq	1.0
adjacency-filter	genus	F1 score	RH_S001__insert_270.fq	1.0
adjacency-filter	genus	Jaccard index	RH_S001__insert_270.fq	1.0
adjacency-filter	species	True positives	RH_S001__insert_270.fq	3.0
adjacency-filter	species	False negatives	RH_S001__insert_270.fq	0.0
adjacency-filter	species	False positives	RH_S001__insert_270.fq	0.0
adjacency-filter	species	Completeness	RH_S001__insert_270.fq	1.0
adjacency-filter	species	Purity	RH_S001__insert_270.fq	1.0
adjacency-filter	species	F1 score	RH_S001__insert_270.fq	1.0
adjacency-filter	species	Jaccard index	RH_S001__insert_270.fq	1.0
adjacency-filter	strain	True positives	RH_S001__insert_270.fq	3.0
adjacency-filter	strain	False negatives	RH_S001__insert_270.fq	0.0
adjacency-filter	strain	False positives	RH_S001__insert_270.fq	0.0
adjacency-filter	strain	Completeness	RH_S001__insert_270.fq	1.0
adjacency-filter	strain	Purity	RH_S001__insert_270.fq	1.0
adjacency-filter	strain	F1 score	RH_S001__insert_270.fq	1.0
adjacency-filter	strain	Jaccard index	RH_S001__insert_270.fq	1.0
adjacency-filter	superkingdom	L1 norm error	RH_S001__insert_270.fq	0.1473666
adjacency-filter	phylum	L1 norm error	RH_S001__insert_270.fq	0.023352399999999992
adjacency-filter	class	L1 norm error	RH_S001__insert_270.fq	0.023352399999999992
adjacency-filter	order	L1 norm error	RH_S001__insert_270.fq	0.023352399999999992
adjacency-filter	family	L1 norm error	RH_S001__insert_270.fq	0.023352399999999992
adjacency-filter	genus	L1 norm error	RH_S001__insert_270.fq	0.023352399999999992
adjacency-filter	species	L1 norm error	RH_S001__insert_270.fq	0.14736649999999998
adjacency-filter	strain	L1 norm error	RH_S001__insert_270.fq	0.14736649999999998
adjacency-filter	na	Weighted UniFrac error	RH_S001__insert_270.fq	0.008828029985714286
adjacency-filter	na	Unweighted UniFrac error	RH_S001__insert_270.fq	0.12980997633488978
adjacency-filter	na	Weighted UniFrac (CAMI)	RH_S001__insert_270.fq	0.2986793521354317
adjacency-filter	na	Unweighted UniFrac (CAMI)	RH_S001__insert_270.fq	1.00000042483699
adjacency-filter	superkingdom	Sum of abundances	RH_S001__insert_270.fq	0.23538440000000002
adjacency-filter	phylum	Sum of abundances	RH_S001__insert_270.fq	0.0479694
adjacency-filter	class	Sum of abundances	RH_S001__insert_270.fq	0.0479694
adjacency-filter	order	Sum of abundances	RH_S001__insert_270.fq	0.0479694
adjacency-filter	family	Sum of abundances	RH_S001__insert_270.fq	0.0479694
adjacency-filter	genus	Sum of abundances	RH_S001__insert_270.fq	0.0479694
adjacency-filter	species	Sum of abundances	RH_S001__insert_270.fq	0.2353845
adjacency-filter	strain	Sum of abundances	RH_S001__insert_270.fq	0.2353845
adjacency-filter	superkingdom	Taxon counts	RH_S001__insert_270.fq	2.0
adjacency-filter	phylum	Taxon counts	RH_S001__insert_270.fq	2.0
adjacency-filter	class	Taxon counts	RH_S001__insert_270.fq	2.0
adjacency-filter	order	Taxon counts	RH_S001__insert_270.fq	2.0
adjacency-filter	family	Taxon counts	RH_S001__insert_270.fq	2.0
adjacency-filter	genus	Taxon counts	RH_S001__insert_270.fq	2.0
adjacency-filter	species	Taxon counts	RH_S001__insert_270.fq	3.0
adjacency-filter	strain	Taxon counts	RH_S001__insert_270.fq	3.0
base-counting	superkingdom	Bray-Curtis distance	RH_S001__insert_270.fq	0.3224931219307831
base-counting	phylum	Bray-Curtis distance	RH_S001__insert_270.fq	0.26645376148760164
base-counting	class	Bray-Curtis distance	RH_S001__insert_270.fq	0.26645376148760164
base-counting	order	Bray-Curtis distance	RH_S001__insert_270.fq	0.26645376148760164
base-counting	family	Bray-Curtis distance	RH_S001__insert_270.fq	0.26645376148760164
base-counting	genus	Bray-Curtis distance	RH_S001__insert_270.fq	0.26645376148760164
base-counting	species	Bray-Curtis distance	RH_S001__insert_270.fq	0.3224931219307831
base-counting	strain	Bray-Curtis distance	RH_S001__insert_270.fq	0.3224931219307831
base-counting	superkingdom	Shannon diversity	RH_S001__insert_270.fq	0.42041470707762163
base-counting	superkingdom	Shannon equitability	RH_S001__insert_270.fq	0.606530213017671
base-counting	phylum	Shannon diversity	RH_S001__insert_270.fq	0.1358247966988272
base-counting	phylum	Shannon equitability	RH_S001__insert_270.fq	0.19595376062714964
base-counting	class	Shannon diversity	RH_S001__insert_270.fq	0.1358247966988272
base-counting	class	Shannon equitability	RH_S001__insert_270.fq	0.19595376062714964
base-counting	order	Shannon diversity	RH_S001__insert_270.fq	0.1358247966988272
base-counting	order	Shannon equitability	RH_S001__insert_270.fq	0.19595376062714964
base-counting	family	Shannon diversity	RH_S001__insert_270.fq	0.1358247966988272
base-counting	family	Shannon equitability	RH_S001__insert_270.fq	0.19595376062714964
base-counting	genus	Shannon diversity	RH_S001__insert_270.fq	0.1358247966988272
base-counting	genus	Shannon equitability	RH_S001__insert_270.fq	0.19595376062714964
base-counting	species	Shannon diversity	RH_S001__insert_270.fq	0.4245978709635761
base-counting	species	Shannon equitability	RH_S001__insert_270.fq	0.3864856376932872
base-counting	strain	Shannon diversity	RH_S001__insert_270.fq	0.4245978709635761
base-counting	strain	Shannon equitability	RH_S001__insert_270.fq	0.3864856376932872
base-counting	superkingdom	True positives	RH_S001__insert_270.fq	2.0
base-counting	superkingdom	False negatives	RH_S001__insert_270.fq	0.0
base-counting	superkingdom	False positives	RH_S001__insert_270.fq	0.0
base-counting	superkingdom	Completeness	RH_S001__insert_270.fq	1.0
base-counting	superkingdom	Purity	RH_S001__insert_270.fq	1.0
base-counting	superkingdom	F1 score	RH_S001__insert_270.fq	1.0
base-counting	superkingdom	Jaccard index	RH_S001__insert_270.fq	1.0
base-counting	phylum	True positives	RH_S001__insert_270.fq	2.0
base-counting	phylum	False negatives	RH_S001__insert_270.fq	0.0
base-counting	phylum	False positives	RH_S001__insert_270.fq	0.0
base-counting	phylum	Completeness	RH_S001__insert_270.fq	1.0
base-counting	phylum	Purity	RH_S001__insert_270.fq	1.0
base-counting	phylum	F1 score	RH_S001__insert_270.fq	1.0
base-counting	phylum	Jaccard index	RH_S001__insert_270.fq	1.0
base-counting	class	True positives	RH_S001__insert_270.fq	2.0
base-counting	class	False negatives	RH_S001__insert_270.fq	0.0
base-counting	class	False positives	RH_S001__insert_270.fq	0.0
base-counting	class	Completeness	RH_S001__insert_270.fq	1.0
base-counting	class	Purity	RH_S001__insert_270.fq	1.0
base-counting	class	F1 score	RH_S001__insert_270.fq	1.0
base-counting	class	Jaccard index	RH_S001__insert_270.fq	1.0
base-counting	order	True positives	RH_S001__insert_270.fq	2.0
base-counting	order	False negatives	RH_S001__insert_270.fq	0.0
base-counting	order	False positives	RH_S001__insert_270.fq	0.0
base-counting	order	Completeness	RH_S001__insert_270.fq	1.0
base-counting	order	Purity	RH_S001__insert_270.fq	1.0
base-counting	order	F1 score	RH_S001__insert_270.fq	1.0
base-counting	order	Jaccard index	RH_S001__insert_270.fq	1.0
base-counting	family	True positives	RH_S001__insert_270.fq	2.0
base-counting	family	False negatives	RH_S001__insert_270.fq	0.0
base-counting	family	False positives	RH_S001__insert_270.fq	0.0
base-counting	family	Completeness	RH_S001__insert_270.fq	1.0
base-counting	family	Purity	RH_S001__insert_270.fq	1.0
base-counting	family	F1 score	RH_S001__insert_270.fq	1.0
base-counting	family	Jaccard index	RH_S001__insert_270.fq	1.0
base-counting	genus	True positives	RH_S001__insert_270.fq	2.0
base-counting	genus	False negatives	RH_S001__insert_270.fq	0.0
base-counting	genus	False positives	RH_S001__insert_270.fq	0.0
base-counting	genus	Completeness	RH_S001__insert_270.fq	1.0
base-counting	genus	Purity	RH_S001__insert_270.fq	1.0
base-counting	genus	F1 score	RH_S001__insert_270.fq	1.0
base-counting	genus	Jaccard index	RH_S001__insert_270.fq	1.0
base-counting	species	True positives	RH_S001__insert_270.fq	3.0
base-counting	species	False negatives	RH_S001__insert_270.fq	0.0
base-counting	species	False positives	RH_S001__insert_270.fq	0.0
base-counting	species	Completeness	RH_S001__insert_270.fq	1.0
base-counting	species	Purity	RH_S001__insert_270.fq	1.0
base-counting	species	F1 score	RH_S001__insert_270.fq	1.0
base-counting	species	Jaccard index	RH_S001__insert_270.fq	1.0
base-counting	strain	True positives	RH_S001__insert_270.fq	3.0
base-counting	strain	False negatives	RH_S001__insert_270.fq	0.0
base-counting	strain	False positives	RH_S001__insert_270.fq	0.0
base-counting	strain	Completeness	RH_S001__insert_270.fq	1.0
base-counting	strain	Purity	RH_S001__insert_270.fq	1.0
base-counting	strain	F1 score	RH_S001__insert_270.fq	1.0
base-counting	strain	Jaccard index	RH_S001__insert_270.fq	1.0
base-counting	superkingdom	L1 norm error	RH_S001__insert_270.fq	0.1866695
base-counting	phylum	L1 norm error	RH_S001__insert_270.fq	0.030011299999999994
base-counting	class	L1 norm error	RH_S001__insert_270.fq	0.030011299999999994
base-counting	order	L1 norm error	RH_S001__insert_270.fq	0.030011299999999994
base-counting	family	L1 norm error	RH_S001__insert_270.fq	0.030011299999999994
base-counting	genus	L1 norm error	RH_S001__insert_270.fq	0.030011299999999994
base-counting	species	L1 norm error	RH_S001__insert_270.fq	0.1866695
base-counting	strain	L1 norm error	RH_S001__insert_270.fq	0.1866695
base-counting	na	Weighted UniFrac error	RH_S001__insert_270.fq	0.011207465757142859
base-counting	na	Unweighted UniFrac error	RH_S001__insert_270.fq	0.12980992118683357
base-counting	na	Weighted UniFrac (CAMI)	RH_S001__insert_270.fq	0.389444937732896
base-counting	na	Unweighted UniFrac (CAMI)	RH_S001__insert_270.fq	1.0
base-counting	superkingdom	Sum of abundances	RH_S001__insert_270.fq	0.19608150000000002
base-counting	phylum	Sum of abundances	RH_S001__insert_270.fq	0.0413105
base-counting	class	Sum of abundances	RH_S001__insert_270.fq	0.0413105
base-counting	order	Sum of abundances	RH_S001__insert_270.fq	0.0413105
base-counting	family	Sum of abundances	RH_S001__insert_270.fq	0.0413105
base-counting	genus	Sum of abundances	RH_S001__insert_270.fq	0.0413105
base-counting	species	Sum of abundances	RH_S001__insert_270.fq	0.1960815
base-counting	strain	Sum of abundances	RH_S001__insert_270.fq	0.1960815
base-counting	superkingdom	Taxon counts	RH_S001__insert_270.fq	2.0
base-counting	phylum	Taxon counts	RH_S001__insert_270.fq	2.0
base-counting	class	Taxon counts	RH_S001__insert_270.fq	2.0
base-counting	order	Taxon counts	RH_S001__insert_270.fq	2.0
base-counting	family	Taxon counts	RH_S001__insert_270.fq	2.0
base-counting	genus	Taxon counts	RH_S001__insert_270.fq	2.0
base-counting	species	Taxon counts	RH_S001__insert_270.fq	3.0
base-counting	strain	Taxon counts	RH_S001__insert_270.fq	3.0
edlib	superkingdom	Bray-Curtis distance	RH_S001__insert_270.fq	0.026733798244871522
edlib	phylum	Bray-Curtis distance	RH_S001__insert_270.fq	0.08496101671999642
edlib	class	Bray-Curtis distance	RH_S001__insert_270.fq	0.08496101671999642
edlib	order	Bray-Curtis distance	RH_S001__insert_270.fq	0.08496101671999642
edlib	family	Bray-Curtis distance	RH_S001__insert_270.fq	0.08496101671999642
edlib	genus	Bray-Curtis distance	RH_S001__insert_270.fq	0.08496101671999642
edlib	species	Bray-Curtis distance	RH_S001__insert_270.fq	0.027405119124045717
edlib	strain	Bray-Curtis distance	RH_S001__insert_270.fq	0.027405119124045717
edlib	superkingdom	Shannon diversity	RH_S001__insert_270.fq	0.5699530005943454
edlib	superkingdom	Shannon equitability	RH_S001__insert_270.fq	0.8222683674972465
edlib	phylum	Shannon diversity	RH_S001__insert_270.fq	0.21294296020409503
edlib	phylum	Shannon equitability	RH_S001__insert_270.fq	0.3072117526786638
edlib	class	Shannon diversity	RH_S001__insert_270.fq	0.21294296020409503
edlib	class	Shannon equitability	RH_S001__insert_270.fq	0.3072117526786638
edlib	order	Shannon diversity	RH_S001__insert_270.fq	0.21294296020409503
edlib	order	Shannon equitability	RH_S001__insert_270.fq	0.3072117526786638
edlib	family	Shannon diversity	RH_S001__insert_270.fq	0.21294296020409503
edlib	family	Shannon equitability	RH_S001__insert_270.fq	0.3072117526786638
edlib	genus	Shannon diversity	RH_S001__insert_270.fq	0.21294296020409503
edlib	genus	Shannon equitability	RH_S001__insert_270.fq	0.3072117526786638
edlib	species	Shannon diversity	RH_S001__insert_270.fq	0.5748315038416534
edlib	species	Shannon equitability	RH_S001__insert_270.fq	0.5232341834975685
edlib	strain	Shannon diversity	RH_S001__insert_270.fq	0.5748315038416534
edlib	strain	Shannon equitability	RH_S001__insert_270.fq	0.5232341834975685
edlib	superkingdom	True positives	RH_S001__insert_270.fq	2.0
edlib	superkingdom	False negatives	RH_S001__insert_270.fq	0.0
edlib	superkingdom	False positives	RH_S001__insert_270.fq	0.0
edlib	superkingdom	Completeness	RH_S001__insert_270.fq	1.0
edlib	superkingdom	Purity	RH_S001__insert_270.fq	1.0
edlib	superkingdom	F1 score	RH_S001__insert_270.fq	1.0
edlib	superkingdom	Jaccard index	RH_S001__insert_270.fq	1.0
edlib	phylum	True positives	RH_S001__insert_270.fq	2.0
edlib	phylum	False negatives	RH_S001__insert_270.fq	0.0
edlib	phylum	False positives	RH_S001__insert_270.fq	0.0
edlib	phylum	Completeness	RH_S001__insert_270.fq	1.0
edlib	phylum	Purity	RH_S001__insert_270.fq	1.0
edlib	phylum	F1 score	RH_S001__insert_270.fq	1.0
edlib	phylum	Jaccard index	RH_S001__insert_270.fq	1.0
edlib	class	True positives	RH_S001__insert_270.fq	2.0
edlib	class	False negatives	RH_S001__insert_270.fq	0.0
edlib	class	False positives	RH_S001__insert_270.fq	0.0
edlib	class	Completeness	RH_S001__insert_270.fq	1.0
edlib	class	Purity	RH_S001__insert_270.fq	1.0
edlib	class	F1 score	RH_S001__insert_270.fq	1.0
edlib	class	Jaccard index	RH_S001__insert_270.fq	1.0
edlib	order	True positives	RH_S001__insert_270.fq	2.0
edlib	order	False negatives	RH_S001__insert_270.fq	0.0
edlib	order	False positives	RH_S001__insert_270.fq	0.0
edlib	order	Completeness	RH_S001__insert_270.fq	1.0
edlib	order	Purity	RH_S001__insert_270.fq	1.0
edlib	order	F1 score	RH_S001__insert_270.fq	1.0
edlib	order	Jaccard index	RH_S001__insert_270.fq	1.0
edlib	family	True positives	RH_S001__insert_270.fq	2.0
edlib	family	False negatives	RH_S001__insert_270.fq	0.0
edlib	family	False positives	RH_S001__insert_270.fq	0.0
edlib	family	Completeness	RH_S001__insert_270.fq	1.0
edlib	family	Purity	RH_S001__insert_270.fq	1.0
edlib	family	F1 score	RH_S001__insert_270.fq	1.0
edlib	family	Jaccard index	RH_S001__insert_270.fq	1.0
edlib	genus	True positives	RH_S001__insert_270.fq	2.0
edlib	genus	False negatives	RH_S001__insert_270.fq	0.0
edlib	genus	False positives	RH_S001__insert_270.fq	0.0
edlib	genus	Completeness	RH_S001__insert_270.fq	1.0
edlib	genus	Purity	RH_S001__insert_270.fq	1.0
edlib	genus	F1 score	RH_S001__insert_270.fq	1.0
edlib	genus	Jaccard index	RH_S001__insert_270.fq	1.0
edlib	species	True positives	RH_S001__insert_270.fq	3.0
edlib	species	False negatives	RH_S001__insert_270.fq	0.0
edlib	species	False positives	RH_S001__insert_270.fq	0.0
edlib	species	Completeness	RH_S001__insert_270.fq	1.0
edlib	species	Purity	RH_S001__insert_270.fq	1.0
edlib	species	F1 score	RH_S001__insert_270.fq	1.0
edlib	species	Jaccard index	RH_S001__insert_270.fq	1.0
edlib	strain	True positives	RH_S001__insert_270.fq	3.0
edlib	strain	False negatives	RH_S001__insert_270.fq	0.0
edlib	strain	False positives	RH_S001__insert_270.fq	0.0
